id,artista,cancion,año,spotify_id,
1,The Beatles,Hey Jude,2006,1eT2CjXwFXNx6oY5ydvzKU,
2,Bob Dylan,Like a Rolling Stone,1965,3AhXZa8sUQht0UEdBJgpGc,
3,Aretha Franklin,Respect,1967,7s25THrKz86DM225dOYwnr,
4,The Beach Boys,Good Vibrations,2011,6aU6a9tdn2vHhnPGlboFZX,
5,Ritchie Valens,La Bamba - Single Version,1959,2aEeghgUcnu75tzcolFMfs,
6,Los Panchos,Bésame Mucho,1960,5lqY7EmoAu9rwV4hHxhEzB,
7,Los Panchos,El Reloj,2008,7dm1tAFkxFfMPAm82Z5Rnz,
8,Eydie GorméLos Panchos,Sabor a Mí,1964,0Hja9zlVQHC768PsPjWscW,
9,Queen,Bohemian Rhapsody,2018,3z8h0TU7ReDPLIbEnYhWZb,
10,Eagles,Hotel California - 2013 Remaster,1976,40riOy7x9W7GXjyGp4pjAv,
11,Led Zeppelin,Stairway to Heaven - Remaster,1971,5CQ30WqJwcep0pYcV4AMNc,
12,John Lennon,Imagine - Remastered 2010,1971,7pKfPomDEeI4TPT6EOYjn9,
13,Bee Gees,Stayin Alive,2020,5ubvP9oKmxLUVq506fgLhk,
14,ABBA,Dancing Queen,1976,0GjEhVFGZW8afUYGChu3Rr,
15,Queen,We Will Rock You - Remastered 2011,1977,54flyrjcdnQdco7300avMJ,
16,Fleetwood Mac,Go Your Own Way,1988,15rjQH7nTcTomKwfVMd4xl,
17,Queen,Don't Stop Me Now - ...Revisited,2018,3INsYP1Y8GG4qJvBsKCdXC,
18,Vicente Fernández,El Rey,2002,32r25QdtfHgAxjohp2EoPH,
19,Antonio AguilarFlor Silvestre,Cielito Lindo - En Vivo,2009,3sZ8igVfXIAv1xVxLD9qKv,
20,Rocío Dúrcal,Amor Eterno,1984,2TC4v9YiuQYk3Tk8RH7fV4,
21,LA INDIA,Que Ganas De No Verte Nunca Más,1994,4QV3YgLi5bHnXMivdZX0Xh,
22,Nino Bravo,Libre,1976,1uAjXdRxH2PBCKGSWPagGJ,
23,Mocedades,Eres Tú,1994,08HeIb9BidFjKROf9ptln0,
24,Julio Iglesias,Gwendolyne,1970,7B4uAyj4X3qs8YXdV4wwhS,
25,Julio Iglesias,Me Olvide De Vivir,1978,0kVOor973ijVqOBhYqvaE8,
26,Paloma San Basilio,No llores por mí argentina,2003,7zTmsaAoSj58kmHdG8xXpy,
27,Duo Dinamico,Resistiré,1988,2oI6d7XcMz1AMTQhDopV5J,
28,Jarabe De Palo,La chica de Ipanema,2017,1QgfZsvA8tpsMVs1EylzYU,
29,Carlos Gardel,Volver,1931,71bkiosdVssjMrVDbdeG7n,
30,ABBA,Fernando,1976,4BM8yJ0PzBi2ZewpMTOxtx,
31,Michael Jackson,Billie Jean,1982,7J1uxwnxfQLu4APicE5Rnj,
32,Madonna,Like a Virgin,1984,1ZPlNanZsJSPK5h9YZZFbZ,
33,Guns N' Roses,Sweet Child O' Mine,1987,7snQQk1zcKl8gZ92AnueZW,
34,a-ha,Take on Me,1985,2WfaOiMkCvy7F5fcp2zZ8L,
35,The Police,Every Breath You Take,1983,1JSTJqkT5qHq8MDJnJbRE1,
36,Simple Minds,Don't You (Forget About Me),2025,5Y8Rj0s6wuM5DlQdllYiWl,
37,TOTO,Africa,1982,2374M0fQpWi3dLnB54qaLX,
38,Bon Jovi,Livin' On A Prayer,1986,37ZJ0p5Jm13JPevGcx4SkF,
39,Journey,Don't Stop Believin',2001,77NNZQSqzLNqh2A9JhLRkg,
40,U2,With Or Without You,1987,6ADSaE87h8Y3lccZlBJdXH,
41,Cyndi Lauper,Girls Just Want to Have Fun,1983,4y1LsJpmMti1PfRQV9AWWe,
42,Wham!,Wake Me Up Before You Go-Go,1984,0ikz6tENMONtK6qGkOrU3c,
43,Luis Miguel,La Incondicional,1988,6F9yAYUaNbUhdlQyt5uZ3b,
44,Emmanuel,La Chica de Humo,1989,0GZ8UVlhn2tjHPpngzoLJk,
45,Mecano,Me Colé en una Fiesta,1982,7b55CJjPfvHBkNCqEv52lT,
46,Antonio Machín,Bésame Mucho,1988,3khRyfMzSuZU26KyQk6Utr,
